id,target
0,0
1,0
2,1
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,1
16,0
17,1
18,0
19,0
20,0
21,1
22,1
23,1
24,1
25,0
26,0
27,1
28,1
29,1
30,1
31,1
32,1
33,0
34,0
35,0
36,0
37,1
38,1
39,0
40,1
41,0
42,1
43,1
44,1
45,1
46,1
47,0
48,0
49,1
50,1
51,0
52,1
53,1
54,1
55,1
56,1
57,1
58,0
59,0
60,0
61,1
62,1
63,1
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,1
72,1
73,1
74,0
75,1
76,0
77,0
78,1
79,0
80,1
81,0
82,0
83,0
84,0
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,0
94,0
95,0
96,1
97,0
98,0
99,0
100,1
101,1
102,0
103,0
104,0
105,0
106,1
107,0
108,1
109,0
110,1
111,1
112,1
113,1
114,0
115,0
116,1
117,1
118,0
119,0
120,1
121,0
122,1
123,0
124,1
125,1
126,1
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,1
136,1
137,1
138,1
139,0
140,0
141,0
142,1
143,0
144,1
145,0
146,1
147,1
148,1
149,1
150,1
151,0
152,1
153,1
154,1
155,1
156,1
157,1
158,0
159,0
160,1
161,0
162,0
163,0
164,0
165,0
166,0
167,1
168,0
169,1
170,0
171,1
172,1
173,1
174,1
175,0
176,1
177,1
178,1
179,0
180,1
181,1
182,1
183,0
184,0
185,0
186,0
187,1
188,0
189,0
190,1
191,1
192,0
193,1
194,1
195,0
196,0
197,0
198,1
199,0
200,0
201,1
202,1
203,1
204,1
205,0
206,1
207,1
208,0
209,0
210,1
211,0
212,1
213,0
214,0
215,1
216,0
217,0
218,1
219,1
220,0
221,1
222,1
223,1
224,0
225,1
226,0
227,0
228,0
229,1
230,1
231,0
232,1
233,0
234,0
235,0
236,0
237,0
238,1
239,0
240,1
241,1
242,0
243,1
244,0
245,1
246,0
247,1
248,0
249,1
250,1
251,0
252,1
253,0
254,1
255,0
256,1
257,1
258,1
259,1
260,1
261,0
262,1
263,1
264,1
265,0
266,0
267,1
268,1
269,1
270,1
271,0
272,0
273,0
274,0
275,1
276,0
277,0
278,0
279,0
280,1
281,0
282,1
283,1
284,0
285,1
286,0
287,1
288,0
289,0
290,0
291,1
292,1
293,1
294,1
295,1
296,1
297,0
298,0
299,1
300,1
301,1
302,0
303,1
304,0
305,0
306,0
307,0
308,1
309,0
310,0
311,1
312,0
313,1
314,0
315,0
316,1
317,1
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,1
327,1
328,0
329,1
330,1
331,1
332,0
333,1
334,1
335,1
336,1
337,0
338,0
339,0
340,1
341,0
342,1
343,0
344,1
345,1
346,0
347,1
348,0
349,0
350,1
351,1
352,0
353,1
354,0
355,0
356,1
357,0
358,0
359,0
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,0
368,1
369,0
370,1
371,1
372,1
373,0
374,1
375,1
376,0
377,1
378,0
379,0
380,0
381,0
382,1
383,1
384,1
385,0
386,0
387,1
388,1
389,1
390,1
391,1
392,0
393,0
394,1
395,0
396,1
397,1
398,1
399,0
400,0
401,1
402,0
403,0
404,0
405,0
406,0
407,1
408,1
409,1
410,1
411,1
412,0
413,0
414,0
415,0
416,0
417,0
418,1
419,0
420,0
421,0
422,1
423,1
424,1
425,0
426,0
427,0
428,1
429,1
430,0
431,0
432,0
433,1
434,1
435,0
436,1
437,0
438,0
439,1
440,0
441,1
442,0
443,0
444,1
445,0
446,0
447,1
448,1
449,0
450,0
451,0
452,0
453,0
454,1
455,0
456,1
457,1
458,1
459,0
460,1
461,1
462,0
463,0
464,0
465,0
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,0
474,1
475,1
476,0
477,1
478,0
479,1
480,1
481,0
482,0
483,0
484,1
485,0
486,0
487,1
488,1
489,0
490,1
491,0
492,0
493,1
494,0
495,0
496,0
497,0
498,0
499,1
500,0
501,1
502,1
503,0
504,0
505,0
506,1
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,1
518,1
519,0
520,1
521,0
522,0
523,0
524,1
525,0
526,1
527,0
528,1
529,1
530,1
531,1
532,0
